"drug1_id","drug1_name","condition_id","condition_name","drug2_id","drug2_name","scores"
"DB11714","Durvalumab","D009369","malignant neoplasms","DB00928","Azacitidine",0.950945198535919
"DB06285","Teriparatide","D010024","osteoporosis, age-related","DB00630","Alendronic acid",0.977877616882324
"DB06285","Teriparatide","D010024","osteoporosis, age-related","DB06643","Denosumab",0.956569671630859
"DB06285","Teriparatide","D010024","osteoporosis, age-related","DB00481","Raloxifene",0.910191893577576
"DB06285","Teriparatide","D015663","osteoporosis, postmenopausal","DB06643","Denosumab",0.802254557609558
"DB06285","Teriparatide","D015663","osteoporosis, postmenopausal","DB00630","Alendronic acid",0.783257484436035
"DB06285","Teriparatide","D058866","osteoporotic fractures","DB06643","Denosumab",0.836056351661682
"DB06285","Teriparatide","D058866","osteoporotic fractures","DB00630","Alendronic acid",0.217843502759933
"DB09045","Dulaglutide","D003920","diabetes mellitus","DB13100","Biguanide",0.980568647384644
"DB09045","Dulaglutide","D003920","diabetes mellitus","DB00046","Insulin lispro",0.86697918176651
"DB09045","Dulaglutide","D003920","diabetes mellitus","DB13928","Semaglutide",0.848592400550842
"DB09045","Dulaglutide","D003924","diabetes mellitus, non-insulin-dependent","DB13100","Biguanide",0.977507174015045
"DB09045","Dulaglutide","D003924","diabetes mellitus, non-insulin-dependent","DB00222","Glimepiride",0.863874018192291
"DB09045","Dulaglutide","D003924","diabetes mellitus, non-insulin-dependent","DB13928","Semaglutide",0.860239148139954
"DB00987","Cytarabine","D007938","leukemia","DB12874","Quizartinib",0.956765472888947
"DB00987","Cytarabine","D007938","leukemia","DB01177","Idarubicin",0.93785160779953
"DB00987","Cytarabine","D007938","leukemia","DB01609","Deferasirox",0.930080592632294
"DB00987","Cytarabine","D007951","leukemia, monocytic, chronic","DB01177","Idarubicin",0.966414034366608
"DB00987","Cytarabine","D007951","leukemia, monocytic, chronic","DB12874","Quizartinib",0.958360254764557
"DB00987","Cytarabine","D007951","leukemia, monocytic, chronic","DB00773","Etoposide",0.929721891880035
"DB00987","Cytarabine","D015470","leukemia, myelocytic, acute","DB01177","Idarubicin",0.926665484905243
"DB00987","Cytarabine","D015470","leukemia, myelocytic, acute","DB12874","Quizartinib",0.899112105369568
"DB00987","Cytarabine","D015470","leukemia, myelocytic, acute","DB01609","Deferasirox",0.859748005867004
"DB00987","Cytarabine","D007948","leukemia, acute monocytic","DB01204","Mitoxantrone",0.828021228313446
"DB00987","Cytarabine","D007948","leukemia, acute monocytic","DB00694","Daunorubicin",0.825553297996521
"DB00987","Cytarabine","D007948","leukemia, acute monocytic","DB00773","Etoposide",0.783835828304291
"DB00987","Cytarabine","D015479","leukemia, acute myelomonocytic","DB00694","Daunorubicin",0.836504340171814
"DB00987","Cytarabine","D015479","leukemia, acute myelomonocytic","DB01177","Idarubicin",0.825496017932892
"DB00987","Cytarabine","D015479","leukemia, acute myelomonocytic","DB01204","Mitoxantrone",0.750692307949066
"DB00987","Cytarabine","D007947","acute megakaryocytic leukemias","DB01177","Idarubicin",0.83656769990921
"DB00987","Cytarabine","D007947","acute megakaryocytic leukemias","DB01204","Mitoxantrone",0.782325804233551
"DB00987","Cytarabine","D007947","acute megakaryocytic leukemias","DB00331","Metformin",0.7209392786026
"DB00987","Cytarabine","D004915","acute erythroblastic leukemia","DB00694","Daunorubicin",0.815143525600433
"DB00987","Cytarabine","D004915","acute erythroblastic leukemia","DB01204","Mitoxantrone",0.803617417812347
"DB00987","Cytarabine","D004915","acute erythroblastic leukemia","DB00331","Metformin",0.727981388568878
"DB00877","Sirolimus","D007938","leukemia","DB00864","Tacrolimus",0.890146315097809
"DB00877","Sirolimus","D007938","leukemia","DB00688","Mycophenolate mofetil",0.818217277526855
"DB00877","Sirolimus","D007938","leukemia","DB00059","Pegaspargase",0.792018175125122
"DB00877","Sirolimus","D007951","leukemia, monocytic, chronic","DB00864","Tacrolimus",0.899477005004883
"DB00877","Sirolimus","D007951","leukemia, monocytic, chronic","DB00928","Azacitidine",0.837470531463623
"DB00877","Sirolimus","D007951","leukemia, monocytic, chronic","DB00688","Mycophenolate mofetil",0.811416804790497
"DB00877","Sirolimus","D015470","leukemia, myelocytic, acute","DB00864","Tacrolimus",0.798299491405487
"DB00877","Sirolimus","D015470","leukemia, myelocytic, acute","DB00688","Mycophenolate mofetil",0.708770394325256
"DB00877","Sirolimus","D015470","leukemia, myelocytic, acute","DB00928","Azacitidine",0.696737051010132
"DB01177","Idarubicin","D007938","leukemia","DB02546","Vorinostat",0.943828523159027
"DB01177","Idarubicin","D007938","leukemia","DB00987","Cytarabine",0.93785160779953
"DB01177","Idarubicin","D007938","leukemia","DB00242","Cladribine",0.895855665206909
"DB01177","Idarubicin","D007951","leukemia, monocytic, chronic","DB00987","Cytarabine",0.966414034366608
"DB01177","Idarubicin","D007951","leukemia, monocytic, chronic","DB02546","Vorinostat",0.949986279010773
"DB01177","Idarubicin","D007951","leukemia, monocytic, chronic","DB00242","Cladribine",0.927669584751129
"DB01177","Idarubicin","D015470","leukemia, myelocytic, acute","DB00987","Cytarabine",0.926665484905243
"DB01177","Idarubicin","D015470","leukemia, myelocytic, acute","DB02546","Vorinostat",0.912818849086761
"DB01177","Idarubicin","D015470","leukemia, myelocytic, acute","DB00242","Cladribine",0.841275453567505
"DB01177","Idarubicin","D007948","leukemia, acute monocytic","DB00987","Cytarabine",0.764690697193146
"DB01177","Idarubicin","D015479","leukemia, acute myelomonocytic","DB00987","Cytarabine",0.825496017932892
"DB01177","Idarubicin","D007947","acute megakaryocytic leukemias","DB00987","Cytarabine",0.83656769990921
"DB01177","Idarubicin","D004915","acute erythroblastic leukemia","DB00987","Cytarabine",0.693926572799683
"DB01234","Dexamethasone","D009101","multiple myeloma","DB01042","Melphalan",0.921700954437256
"DB01234","Dexamethasone","D009101","multiple myeloma","DB09331","Daratumumab",0.883517861366272
"DB01234","Dexamethasone","D009101","multiple myeloma","DB08910","Pomalidomide",0.866717994213104
"DB01234","Dexamethasone","D054219","plasma cell neoplasm","DB09331","Daratumumab",0.972133278846741
"DB01234","Dexamethasone","D054219","plasma cell neoplasm","DB08910","Pomalidomide",0.947860360145569
"DB01234","Dexamethasone","D054219","plasma cell neoplasm","DB01042","Melphalan",0.936966121196747
"DB01073","Fludarabine","D009101","multiple myeloma","DB01042","Melphalan",0.925715088844299
"DB01073","Fludarabine","D009101","multiple myeloma","DB00531","Cyclophosphamide",0.707208037376404
"DB01073","Fludarabine","D009101","multiple myeloma","DB00188","Bortezomib",0.195199176669121
"DB01073","Fludarabine","D054219","plasma cell neoplasm","DB01042","Melphalan",0.925792634487152
"DB01073","Fludarabine","D054219","plasma cell neoplasm","DB00531","Cyclophosphamide",0.832750141620636
"DB01073","Fludarabine","D054219","plasma cell neoplasm","DB00188","Bortezomib",0.763767600059509
"DB00188","Bortezomib","D009101","multiple myeloma","DB01042","Melphalan",0.842915892601013
"DB00188","Bortezomib","D009101","multiple myeloma","DB06809","Plerixafor",0.816649615764618
"DB00188","Bortezomib","D009101","multiple myeloma","DB02546","Vorinostat",0.81318473815918
"DB00188","Bortezomib","D054219","plasma cell neoplasm","DB01042","Melphalan",0.928193688392639
"DB00188","Bortezomib","D054219","plasma cell neoplasm","DB01041","Thalidomide",0.900344789028168
"DB00188","Bortezomib","D054219","plasma cell neoplasm","DB09331","Daratumumab",0.890972554683685
"DB01042","Melphalan","D009101","multiple myeloma","DB01073","Fludarabine",0.925715088844299
"DB01042","Melphalan","D009101","multiple myeloma","DB01234","Dexamethasone",0.921700954437256
"DB01042","Melphalan","D009101","multiple myeloma","DB11678","Treosulfan",0.896616697311401
"DB01042","Melphalan","D054219","plasma cell neoplasm","DB11678","Treosulfan",0.94737297296524
"DB01042","Melphalan","D054219","plasma cell neoplasm","DB01234","Dexamethasone",0.936966121196747
"DB01042","Melphalan","D054219","plasma cell neoplasm","DB00188","Bortezomib",0.928193688392639
"DB00396","Progesterone","D047928","premature birth","DB00783","Estradiol",0.110962204635143
"DB00958","Carboplatin","D011471","prostatic neoplasms","DB09074","Olaparib",0.727842032909393
"DB00958","Carboplatin","D011471","prostatic neoplasms","DB01248","Docetaxel",0.696980535984039
"DB00958","Carboplatin","D011471","prostatic neoplasms","DB01229","Paclitaxel",0.681073069572449
"DB01248","Docetaxel","D011471","prostatic neoplasms","DB01196","Estramustine",0.855554282665253
"DB01248","Docetaxel","D011471","prostatic neoplasms","DB01026","Ketoconazole",0.81475043296814
"DB01248","Docetaxel","D011471","prostatic neoplasms","DB00014","Goserelin",0.814312398433685
"DB01196","Estramustine","D011471","prostatic neoplasms","DB01248","Docetaxel",0.855554282665253
"DB01196","Estramustine","D011471","prostatic neoplasms","DB00361","Vinorelbine",0.783346712589264
"DB01196","Estramustine","D011471","prostatic neoplasms","DB01229","Paclitaxel",0.73339432477951
"DB01267","Paliperidone","D012559","schizophrenia","DB01238","Aripiprazole",0.823823153972626
"DB00184","Nicotine","D014029","nicotine dependence","DB00273","Topiramate",0.802030920982361
"DB00184","Nicotine","D014029","nicotine dependence","DB01273","Varenicline",0.783596098423004
"DB00184","Nicotine","D014029","nicotine dependence","DB01156","Bupropion",0.781997323036194
"DB01101","Capecitabine","D013274","gastric cancer","DB00526","Oxaliplatin",0.709788918495178
"DB01101","Capecitabine","D013274","gastric cancer","DB01248","Docetaxel",0.625353097915649
"DB01101","Capecitabine","D013274","gastric cancer","DB00544","Fluorouracil",0.610833287239075
"DB00915","Amantadine","D012559","schizophrenia","DB00273","Topiramate",0.133427023887634
"DB09037","Pembrolizumab","D016889","endometrial neoplasms","DB09078","Lenvatinib",0.818022668361664
"DB09037","Pembrolizumab","D016889","endometrial neoplasms","DB06626","Axitinib",0.718414306640625
"DB09037","Pembrolizumab","D016889","endometrial neoplasms","DB09074","Olaparib",0.637749373912811
"DB09037","Pembrolizumab","D014594","uterine neoplasms","DB09078","Lenvatinib",0.840224981307983
"DB09037","Pembrolizumab","D014594","uterine neoplasms","DB09074","Olaparib",0.770196139812469
"DB09037","Pembrolizumab","D014594","uterine neoplasms","DB06626","Axitinib",0.766096889972687
"DB00441","Gemcitabine","D010190","pancreatic neoplasm","DB01019","Bethanechol",0.787397444248199
"DB00441","Gemcitabine","D010190","pancreatic neoplasm","DB01101","Capecitabine",0.779021680355072
"DB00441","Gemcitabine","D010190","pancreatic neoplasm","DB00515","Cisplatin",0.731327414512634
"DB06605","Apixaban","D011655","pulmonary embolism","DB01109","Heparin",0.638956785202026
"DB06605","Apixaban","D013927","thrombosis","DB06228","Rivaroxaban",0.78154730796814
"DB06605","Apixaban","D013927","thrombosis","DB00682","Warfarin",0.763855159282684
"DB06605","Apixaban","D004617","embolism","DB01109","Heparin",0.784079313278198
"DB06605","Apixaban","D020246","venous thrombosis","DB00682","Warfarin",0.10650597512722
"DB00476","Duloxetine","D040921","stress disorders, traumatic","DB01175","Escitalopram",0.787524104118347
"DB00476","Duloxetine","D013313","post-traumatic stress disorder","DB01175","Escitalopram",0.724819600582123
"DB00476","Duloxetine","D013313","post-traumatic stress disorder","DB01104","Sertraline",0.409236490726471
"DB06292","Dapagliflozin","D003922","diabetes mellitus, insulin-dependent","DB01276","Exenatide",0.799224436283112
"DB00653","Magnesium sulfate","D020521","cerebrovascular accident","DB00297","Bupivacaine",0.135100841522217
"DB00484","Brimonidine","D009798","glaucoma, suspect","DB01194","Brinzolamide",0.874950110912323
