"drug1_id","drug1_name","drug2_id","drug2_name","condition_id","condition_name","scores"
"DB09037","Pembrolizumab","DB00254","Doxycycline","D009362","neoplasm metastasis",0.16685842
"DB09037","Pembrolizumab","DB00648","Mitotane","D009362","neoplasm metastasis",0.16678981
"DB01136","Carvedilol","DB00722","Lisinopril","D009362","neoplasm metastasis",0.16385724
"DB00673","Aprepitant","DB00904","Ondansetron","D009362","neoplasm metastasis",0.16015863
"DB01248","Docetaxel","DB00762","Irinotecan","D009362","neoplasm metastasis",0.15755093
"DB06243","Eflornithine","DB00605","Sulindac","D009362","neoplasm metastasis",0.15700205
"DB00531","Cyclophosphamide","DB00997","Doxorubicin","D009362","neoplasm metastasis",0.15642715
"DB02546","Vorinostat","DB00982","Isotretinoin","D009362","neoplasm metastasis",0.15483062
"DB00196","Fluconazole","DB01263","Posaconazole","D009362","neoplasm metastasis",0.15432818
"DB01075","Diphenhydramine","DB00863","Ranitidine","D009362","neoplasm metastasis",0.15319438
"DB01229","Paclitaxel","DB04868","Nilotinib","D009362","neoplasm metastasis",0.15047918
"DB00688","Mycophenolate mofetil","DB00091","Cyclosporine","D009362","neoplasm metastasis",0.14982247
"DB00531","Cyclophosphamide","DB00552","Pentostatin","D009362","neoplasm metastasis",0.14842549
"DB01259","Lapatinib","DB00112","Bevacizumab","D009362","neoplasm metastasis",0.14756325
"DB01030","Topotecan","DB00317","Gefitinib","D009362","neoplasm metastasis",0.14449853
"DB00112","Bevacizumab","DB01590","Everolimus","D009362","neoplasm metastasis",0.14359713
"DB00877","Sirolimus","DB00995","Auranofin","D009362","neoplasm metastasis",0.1431319
"DB00361","Vinorelbine","DB00072","Trastuzumab","D009362","neoplasm metastasis",0.14274779
"DB01590","Everolimus","DB00398","Sorafenib","D009362","neoplasm metastasis",0.1423528
"DB00958","Carboplatin","DB00642","Pemetrexed","D009362","neoplasm metastasis",0.14081247
"DB00958","Carboplatin","DB12489","Mirvetuximab soravtansine","D009362","neoplasm metastasis",0.14052479
"DB00619","Imatinib","DB01229","Paclitaxel","D009362","neoplasm metastasis",0.13921392
"DB00515","Cisplatin","DB09073","Palbociclib","D009362","neoplasm metastasis",0.13842757
"DB09073","Palbociclib","DB08916","Afatinib","D009362","neoplasm metastasis",0.13793293
"DB00762","Irinotecan","DB11760","Talazoparib","D009362","neoplasm metastasis",0.13784346
"DB09073","Palbociclib","DB00002","Cetuximab","D009362","neoplasm metastasis",0.13550422
"DB00916","Metronidazole","DB00798","Gentamicin","D009362","neoplasm metastasis",0.13525327
"DB00497","Oxycodone","DB00633","Dexmedetomidine","D009362","neoplasm metastasis",0.13513045
"DB00631","Clofarabine","DB01204","Mitoxantrone","D009362","neoplasm metastasis",0.13400745
"DB00530","Erlotinib","DB01197","Captopril","D009362","neoplasm metastasis",0.13252825
"DB00997","Doxorubicin","DB01181","Ifosfamide","D009362","neoplasm metastasis",0.13232353
"DB01030","Topotecan","DB01294","Bismuth subsalicylate","D009362","neoplasm metastasis",0.12858884
"DB01248","Docetaxel","DB09037","Pembrolizumab","D009362","neoplasm metastasis",0.1282
"DB09037","Pembrolizumab","DB00441","Gemcitabine","D009362","neoplasm metastasis",0.12722926
"DB06616","Bosutinib","DB06626","Axitinib","D009362","neoplasm metastasis",0.12652972
"DB00997","Doxorubicin","DB00398","Sorafenib","D009362","neoplasm metastasis",0.12560757
"DB01221","Ketamine","DB00281","Lidocaine","D009362","neoplasm metastasis",0.12557507
"DB09074","Olaparib","DB15568","Adagrasib","D009362","neoplasm metastasis",0.12500805
"DB01101","Capecitabine","DB09078","Lenvatinib","D009362","neoplasm metastasis",0.123556055
"DB01262","Decitabine","DB00313","Valproic acid","D009362","neoplasm metastasis",0.12000466
"DB01101","Capecitabine","DB02546","Vorinostat","D009362","neoplasm metastasis",0.119354844
"DB00531","Cyclophosphamide","DB00635","Prednisone","D009362","neoplasm metastasis",0.11828885
"DB00515","Cisplatin","DB00642","Pemetrexed","D009362","neoplasm metastasis",0.116759986
"DB01128","Bicalutamide","DB00481","Raloxifene","D009362","neoplasm metastasis",0.11554494
"DB00958","Carboplatin","DB00928","Azacitidine","D009362","neoplasm metastasis",0.11509793
"DB00619","Imatinib","DB01005","Hydroxyurea","D009362","neoplasm metastasis",0.112287275
"DB09078","Lenvatinib","DB06626","Axitinib","D009362","neoplasm metastasis",0.11041035
"DB00112","Bevacizumab","DB00313","Valproic acid","D009362","neoplasm metastasis",0.10936949
"DB00331","Metformin","DB00997","Doxorubicin","D009362","neoplasm metastasis",0.10925476
"DB09035","Nivolumab","DB09331","Daratumumab","D009362","neoplasm metastasis",0.10910608
"DB11714","Durvalumab","DB09053","Ibrutinib","D009362","neoplasm metastasis",0.108604014
"DB00563","Methotrexate","DB00570","Vinblastine","D009362","neoplasm metastasis",0.108410604
"DB00877","Sirolimus","DB00530","Erlotinib","D009362","neoplasm metastasis",0.1066637
"DB11714","Durvalumab","DB00002","Cetuximab","D009362","neoplasm metastasis",0.10609458
"DB01229","Paclitaxel","DB00480","Lenalidomide","D009362","neoplasm metastasis",0.10510917
"DB00531","Cyclophosphamide","DB09037","Pembrolizumab","D009362","neoplasm metastasis",0.10396021
"DB01229","Paclitaxel","DB00227","Lovastatin","D009362","neoplasm metastasis",0.10245698
"DB01006","Letrozole","DB00641","Simvastatin","D009362","neoplasm metastasis",0.100819215
"DB06605","Apixaban","DB06228","Rivaroxaban","D007680","kidney neoplasm",0.5874556
"DB11595","Atezolizumab","DB11800","Tivozanib","D007680","kidney neoplasm",0.58667433
"DB01229","Paclitaxel","DB04868","Nilotinib","D007680","kidney neoplasm",0.5647946
"DB00958","Carboplatin","DB01229","Paclitaxel","D007680","kidney neoplasm",0.52138144
"DB00188","Bortezomib","DB02546","Vorinostat","D007680","kidney neoplasm",0.4355263
"DB00531","Cyclophosphamide","DB00482","Celecoxib","D007680","kidney neoplasm",0.3636179
"DB01101","Capecitabine","DB00526","Oxaliplatin","D007680","kidney neoplasm",0.283639
"DB00642","Pemetrexed","DB06616","Bosutinib","D007680","kidney neoplasm",0.27028364
"DB00531","Cyclophosphamide","DB01008","Busulfan","D007680","kidney neoplasm",0.25584683
"DB00515","Cisplatin","DB00773","Etoposide","D007680","kidney neoplasm",0.24535868
"DB00441","Gemcitabine","DB00526","Oxaliplatin","D007680","kidney neoplasm",0.22629888
"DB09037","Pembrolizumab","DB00254","Doxycycline","D007680","kidney neoplasm",0.21429643
"DB00997","Doxorubicin","DB00380","Dexrazoxane","D007680","kidney neoplasm",0.19421259
"DB01101","Capecitabine","DB09078","Lenvatinib","D007680","kidney neoplasm",0.17974381
"DB00864","Tacrolimus","DB01590","Everolimus","D007680","kidney neoplasm",0.1797245
"DB01229","Paclitaxel","DB09079","Nintedanib","D007680","kidney neoplasm",0.1632906
"DB00958","Carboplatin","DB01030","Topotecan","D007680","kidney neoplasm",0.15864128
"DB01006","Letrozole","DB01590","Everolimus","D007680","kidney neoplasm",0.15047613
"DB00650","Leucovorin","DB00563","Methotrexate","D007680","kidney neoplasm",0.14426932
"DB09035","Nivolumab","DB12332","Rucaparib","D007680","kidney neoplasm",0.1403736
"DB09037","Pembrolizumab","DB11945","Avelumab","D007680","kidney neoplasm",0.13573986
"DB09037","Pembrolizumab","DB00441","Gemcitabine","D007680","kidney neoplasm",0.1346507
"DB01611","Hydroxychloroquine","DB01167","Itraconazole","D007680","kidney neoplasm",0.1296421
"DB00762","Irinotecan","DB00112","Bevacizumab","D007680","kidney neoplasm",0.11572187
"DB00958","Carboplatin","DB00928","Azacitidine","D007680","kidney neoplasm",0.11010736
"DB09037","Pembrolizumab","DB05578","Ramucirumab","D007680","kidney neoplasm",0.109845564
"DB00877","Sirolimus","DB00688","Mycophenolate mofetil","D007680","kidney neoplasm",0.104829654
"DB09035","Nivolumab","DB00112","Bevacizumab","D007680","kidney neoplasm",0.10327881
"DB01222","Budesonide","DB00983","Formoterol","D012220","rhinitis",0.49649748
"DB00332","Ipratropium","DB01288","Fenoterol","D012220","rhinitis",0.47988456
"DB00207","Azithromycin","DB00254","Doxycycline","D012220","rhinitis",0.3651075
"DB00668","Epinephrine","DB00443","Betamethasone","D012220","rhinitis",0.19070047
"DB01001","Albuterol","DB00986","Glycopyrronium","D012220","rhinitis",0.1345
"DB00193","Tramadol","DB00264","Metoprolol","D012220","rhinitis",0.10229391
"DB00455","Loratadine","DB00283","Clemastine","D065631","rhinitis, allergic",0.713379
"DB00852","Pseudoephedrine","DB00835","Brompheniramine","D065631","rhinitis, allergic",0.47522667
"DB00341","Cetirizine","DB00350","Minoxidil","D065631","rhinitis, allergic",0.2691566
"DB00668","Epinephrine","DB00043","Omalizumab","D065631","rhinitis, allergic",0.22822726
"DB00927","Famotidine","DB00455","Loratadine","D065631","rhinitis, allergic",0.14442767
"DB00541","Vincristine","DB00997","Doxorubicin","D018335","rhabdoid tumor",0.113429844
"DB00188","Bortezomib","DB02546","Vorinostat","D018335","rhabdoid tumor",0.107163765
"DB11793","Niraparib","DB11828","Neratinib","D001943","malignant neoplasm of breast",0.7978611
"DB01101","Capecitabine","DB02546","Vorinostat","D001943","malignant neoplasm of breast",0.78339034
"DB01128","Bicalutamide","DB00481","Raloxifene","D001943","malignant neoplasm of breast",0.7361765
"DB11595","Atezolizumab","DB08882","Linagliptin","D001943","malignant neoplasm of breast",0.69057333
"DB00007","Leuprolide","DB01217","Anastrozole","D001943","malignant neoplasm of breast",0.68492246
"DB01248","Docetaxel","DB00526","Oxaliplatin","D001943","malignant neoplasm of breast",0.670401
"DB00515","Cisplatin","DB01248","Docetaxel","D001943","malignant neoplasm of breast",0.66029584
"DB09037","Pembrolizumab","DB00072","Trastuzumab","D001943","malignant neoplasm of breast",0.6489514
"DB01128","Bicalutamide","DB06287","Temsirolimus","D001943","malignant neoplasm of breast",0.6365809
"DB01030","Topotecan","DB01294","Bismuth subsalicylate","D001943","malignant neoplasm of breast",0.62960416
"DB00014","Goserelin","DB01128","Bicalutamide","D001943","malignant neoplasm of breast",0.60589653
"DB00958","Carboplatin","DB09074","Olaparib","D001943","malignant neoplasm of breast",0.60389954
"DB00515","Cisplatin","DB01101","Capecitabine","D001943","malignant neoplasm of breast",0.5998553
"DB15171","Tirzepatide","DB00367","Levonorgestrel","D001943","malignant neoplasm of breast",0.5784346
"DB00544","Fluorouracil","DB11058","Petrolatum","D001943","malignant neoplasm of breast",0.57653666
"DB01128","Bicalutamide","DB01217","Anastrozole","D001943","malignant neoplasm of breast",0.5669594
"DB01229","Paclitaxel","DB00361","Vinorelbine","D001943","malignant neoplasm of breast",0.5647559
"DB01101","Capecitabine","DB00762","Irinotecan","D001943","malignant neoplasm of breast",0.55127406
"DB00544","Fluorouracil","DB01248","Docetaxel","D001943","malignant neoplasm of breast",0.5467136
"DB11793","Niraparib","DB00112","Bevacizumab","D001943","malignant neoplasm of breast",0.5347079
"DB00544","Fluorouracil","DB00526","Oxaliplatin","D001943","malignant neoplasm of breast",0.5343501
"DB01229","Paclitaxel","DB00526","Oxaliplatin","D001943","malignant neoplasm of breast",0.52673686
"DB09330","Osimertinib","DB11652","Tucatinib","D001943","malignant neoplasm of breast",0.5229402
"DB08911","Trametinib","DB08912","Dabrafenib","D001943","malignant neoplasm of breast",0.5152098
"DB00531","Cyclophosphamide","DB00361","Vinorelbine","D001943","malignant neoplasm of breast",0.49548814
"DB00112","Bevacizumab","DB02546","Vorinostat","D001943","malignant neoplasm of breast",0.488327
"DB15133","Tepotinib","DB16216","Lazertinib","D001943","malignant neoplasm of breast",0.48766905
"DB09074","Olaparib","DB00851","Dacarbazine","D001943","malignant neoplasm of breast",0.48758298
"DB00515","Cisplatin","DB01259","Lapatinib","D001943","malignant neoplasm of breast",0.48568985
"DB09035","Nivolumab","DB14851","Relatlimab","D001943","malignant neoplasm of breast",0.4831872
"DB01248","Docetaxel","DB00530","Erlotinib","D001943","malignant neoplasm of breast",0.48248833
"DB00530","Erlotinib","DB00317","Gefitinib","D001943","malignant neoplasm of breast",0.47051582
"DB00531","Cyclophosphamide","DB01268","Sunitinib","D001943","malignant neoplasm of breast",0.4694474
"DB00515","Cisplatin","DB00544","Fluorouracil","D001943","malignant neoplasm of breast",0.46063808
"DB00921","Buprenorphine","DB00193","Tramadol","D001943","malignant neoplasm of breast",0.44665635
"DB00112","Bevacizumab","DB00530","Erlotinib","D001943","malignant neoplasm of breast",0.4419888
"DB09073","Palbociclib","DB08916","Afatinib","D001943","malignant neoplasm of breast",0.43662867
"DB00544","Fluorouracil","DB00724","Imiquimod","D001943","malignant neoplasm of breast",0.42714062
"DB00958","Carboplatin","DB05015","Belinostat","D001943","malignant neoplasm of breast",0.42020792
"DB00762","Irinotecan","DB11760","Talazoparib","D001943","malignant neoplasm of breast",0.4199413
"DB00441","Gemcitabine","DB00526","Oxaliplatin","D001943","malignant neoplasm of breast",0.41615382
"DB01590","Everolimus","DB01217","Anastrozole","D001943","malignant neoplasm of breast",0.4131724
"DB00531","Cyclophosphamide","DB06186","Ipilimumab","D001943","malignant neoplasm of breast",0.40972275
"DB09035","Nivolumab","DB12332","Rucaparib","D001943","malignant neoplasm of breast",0.40698987
"DB00958","Carboplatin","DB00997","Doxorubicin","D001943","malignant neoplasm of breast",0.3958003
"DB00544","Fluorouracil","DB01101","Capecitabine","D001943","malignant neoplasm of breast",0.39378035
"DB09037","Pembrolizumab","DB00820","Tadalafil","D001943","malignant neoplasm of breast",0.39021632
"DB00515","Cisplatin","DB00072","Trastuzumab","D001943","malignant neoplasm of breast",0.38022935
"DB00544","Fluorouracil","DB00762","Irinotecan","D001943","malignant neoplasm of breast",0.37647614
"DB00958","Carboplatin","DB00544","Fluorouracil","D001943","malignant neoplasm of breast",0.37249193
"DB00773","Etoposide","DB01181","Ifosfamide","D001943","malignant neoplasm of breast",0.37163672
"DB09035","Nivolumab","DB11760","Talazoparib","D001943","malignant neoplasm of breast",0.36730555
"DB01216","Finasteride","DB00499","Flutamide","D001943","malignant neoplasm of breast",0.3668041
"DB00515","Cisplatin","DB00762","Irinotecan","D001943","malignant neoplasm of breast",0.35100728
"DB11595","Atezolizumab","DB00997","Doxorubicin","D001943","malignant neoplasm of breast",0.34878904
"DB01217","Anastrozole","DB01254","Dasatinib","D001943","malignant neoplasm of breast",0.34375122
"DB00958","Carboplatin","DB11945","Avelumab","D001943","malignant neoplasm of breast",0.3360582
"DB08885","Aflibercept","DB14707","Cemiplimab","D001943","malignant neoplasm of breast",0.32971862
"DB11595","Atezolizumab","DB01248","Docetaxel","D001943","malignant neoplasm of breast",0.32967436
"DB01229","Paclitaxel","DB06366","Pertuzumab","D001943","malignant neoplasm of breast",0.32707486
"DB00965","Ethiodized oil","DB01611","Hydroxychloroquine","D001943","malignant neoplasm of breast",0.32203624
"DB00441","Gemcitabine","DB01259","Lapatinib","D001943","malignant neoplasm of breast",0.3161271
"DB01590","Everolimus","DB01128","Bicalutamide","D001943","malignant neoplasm of breast",0.31427738
"DB01229","Paclitaxel","DB04868","Nilotinib","D001943","malignant neoplasm of breast",0.31100813
"DB01167","Itraconazole","DB11853","Relugolix","D001943","malignant neoplasm of breast",0.30279863
"DB01248","Docetaxel","DB00331","Metformin","D001943","malignant neoplasm of breast",0.29667902
"DB09074","Olaparib","DB05109","Trabectedin","D001943","malignant neoplasm of breast",0.29238743
"DB00002","Cetuximab","DB11945","Avelumab","D001943","malignant neoplasm of breast",0.29219213
"DB01590","Everolimus","DB01030","Topotecan","D001943","malignant neoplasm of breast",0.2904302
"DB01101","Capecitabine","DB00853","Temozolomide","D001943","malignant neoplasm of breast",0.28873315
"DB00818","Propofol","DB00899","Remifentanil","D001943","malignant neoplasm of breast",0.28578928
"DB00958","Carboplatin","DB00928","Azacitidine","D001943","malignant neoplasm of breast",0.2849361
"DB00635","Prednisone","DB00741","Hydrocortisone","D001943","malignant neoplasm of breast",0.28452256
"DB11595","Atezolizumab","DB00220","Nelfinavir","D001943","malignant neoplasm of breast",0.2832603
"DB01229","Paclitaxel","DB05578","Ramucirumab","D001943","malignant neoplasm of breast",0.28017983
"DB01248","Docetaxel","DB00002","Cetuximab","D001943","malignant neoplasm of breast",0.26668996
"DB01101","Capecitabine","DB00313","Valproic acid","D001943","malignant neoplasm of breast",0.26429883
"DB01234","Dexamethasone","DB01026","Ketoconazole","D001943","malignant neoplasm of breast",0.2642801
"DB00112","Bevacizumab","DB01590","Everolimus","D001943","malignant neoplasm of breast",0.26245043
"DB00441","Gemcitabine","DB00331","Metformin","D001943","malignant neoplasm of breast",0.25918958
"DB01128","Bicalutamide","DB06603","Panobinostat","D001943","malignant neoplasm of breast",0.2571793
"DB09037","Pembrolizumab","DB00997","Doxorubicin","D001943","malignant neoplasm of breast",0.24738002
"DB01234","Dexamethasone","DB11699","Tropisetron","D001943","malignant neoplasm of breast",0.24628714
"DB01234","Dexamethasone","DB00331","Metformin","D001943","malignant neoplasm of breast",0.24352366
"DB00531","Cyclophosphamide","DB00002","Cetuximab","D001943","malignant neoplasm of breast",0.24337775
"DB00515","Cisplatin","DB00997","Doxorubicin","D001943","malignant neoplasm of breast",0.2416645
"DB00899","Remifentanil","DB01189","Desflurane","D001943","malignant neoplasm of breast",0.24063878
"DB00515","Cisplatin","DB11714","Durvalumab","D001943","malignant neoplasm of breast",0.24019966
"DB00531","Cyclophosphamide","DB00482","Celecoxib","D001943","malignant neoplasm of breast",0.23486339
"DB00281","Lidocaine","DB00683","Midazolam","D001943","malignant neoplasm of breast",0.23400263
"DB00762","Irinotecan","DB00526","Oxaliplatin","D001943","malignant neoplasm of breast",0.23375921
"DB00515","Cisplatin","DB00642","Pemetrexed","D001943","malignant neoplasm of breast",0.22967292
"DB06366","Pertuzumab","DB00530","Erlotinib","D001943","malignant neoplasm of breast",0.22677967
"DB00112","Bevacizumab","DB01294","Bismuth subsalicylate","D001943","malignant neoplasm of breast",0.2258599
"DB01128","Bicalutamide","DB01126","Dutasteride","D001943","malignant neoplasm of breast",0.22155754
"DB00331","Metformin","DB01006","Letrozole","D001943","malignant neoplasm of breast",0.215359
"DB00515","Cisplatin","DB02546","Vorinostat","D001943","malignant neoplasm of breast",0.2139797
"DB00515","Cisplatin","DB00220","Nelfinavir","D001943","malignant neoplasm of breast",0.21193248
"DB01248","Docetaxel","DB01037","Selegiline","D001943","malignant neoplasm of breast",0.21032278
"DB00916","Metronidazole","DB00798","Gentamicin","D001943","malignant neoplasm of breast",0.20780998
"DB00421","Spironolactone","DB00350","Minoxidil","D001943","malignant neoplasm of breast",0.20735247
"DB09074","Olaparib","DB00112","Bevacizumab","D001943","malignant neoplasm of breast",0.20732212
"DB00997","Doxorubicin","DB00965","Ethiodized oil","D001943","malignant neoplasm of breast",0.20576589
"DB00959","Methylprednisolone","DB01248","Docetaxel","D001943","malignant neoplasm of breast",0.20497552
"DB00997","Doxorubicin","DB06043","Olaratumab","D001943","malignant neoplasm of breast",0.20432892
"DB01045","Rifampin","DB08881","Vemurafenib","D001943","malignant neoplasm of breast",0.20340444
"DB00958","Carboplatin","DB00773","Etoposide","D001943","malignant neoplasm of breast",0.20287538
"DB01248","Docetaxel","DB02546","Vorinostat","D001943","malignant neoplasm of breast",0.198815
"DB00014","Goserelin","DB00499","Flutamide","D001943","malignant neoplasm of breast",0.19845012
"DB09037","Pembrolizumab","DB00928","Azacitidine","D001943","malignant neoplasm of breast",0.19577034
"DB01229","Paclitaxel","DB00227","Lovastatin","D001943","malignant neoplasm of breast",0.19482478
"DB09037","Pembrolizumab","DB00112","Bevacizumab","D001943","malignant neoplasm of breast",0.19068648
"DB09035","Nivolumab","DB00112","Bevacizumab","D001943","malignant neoplasm of breast",0.19049083
"DB09035","Nivolumab","DB00762","Irinotecan","D001943","malignant neoplasm of breast",0.19027673
