"condition_id","condition_name","drug1_id","drug1_name","drug2_id","drug2_name","scores"
"D001249","asthma","DB00972","Azelastine","DB00764","Mometasone",0.63995093
"D007249","inflammation","DB01222","Budesonide","DB09113","Poractant alfa",0.81912994
"D007249","inflammation","DB01327","Cefazolin","DB01190","Clindamycin",0.8171649
"D007249","inflammation","DB01327","Cefazolin","DB00567","Cephalexin",0.7765867
"D004941","esophagitis","DB00196","Fluconazole","DB01294","Bismuth subsalicylate",0.5797766
"D004941","esophagitis","DB00916","Metronidazole","DB00798","Gentamicin",0.24463236
"D004941","esophagitis","DB00368","Norepinephrine","DB02638","Terlipressin",0.18016385
"D057765","esophagitis, eosinophilic","DB00959","Methylprednisolone","DB00736","Esomeprazole",0.13647406
"D008223","lymphoma","DB06650","Ofatumumab","DB00291","Chlorambucil",0.88257194
"D008223","lymphoma","DB00694","Daunorubicin","DB00059","Pegaspargase",0.8359661
"D008223","lymphoma","DB04572","Thiotepa","DB01073","Fludarabine",0.8117607
"D007938","leukemia","DB11633","Isavuconazole","DB11703","Acalabrutinib",0.767169
"D007938","leukemia","DB03619","Deoxycholic acid","DB00681","Amphotericin B",0.73995227
"D007938","leukemia","DB09035","Nivolumab","DB01042","Melphalan",0.6794095
"D008224","lymphoma, follicular","DB00773","Etoposide","DB00526","Oxaliplatin",0.3909027
"D008224","lymphoma, follicular","DB00437","Allopurinol","DB00049","Rasburicase",0.22358994
"D008224","lymphoma, follicular","DB01262","Decitabine","DB00313","Valproic acid",0.15283665
"D016393","b-cell lymphomas","DB00437","Allopurinol","DB00049","Rasburicase",0.85303545
"D016393","b-cell lymphomas","DB08935","Obinutuzumab","DB06769","Bendamustine",0.77065873
"D016393","b-cell lymphomas","DB00440","Trimethoprim","DB01015","Sulfamethoxazole",0.56353146
"D007945","leukemia, lymphoid","DB00059","Pegaspargase","DB00074","Basiliximab",0.8177528
"D007945","leukemia, lymphoid","DB01073","Fludarabine","DB01008","Busulfan",0.71745515
"D007945","leukemia, lymphoid","DB03619","Deoxycholic acid","DB00681","Amphotericin B",0.62868047
"D015451","chronic lymphocytic leukemia","DB00619","Imatinib","DB12597","Asciminib",0.70297927
"D015451","chronic lymphocytic leukemia","DB00631","Clofarabine","DB01204","Mitoxantrone",0.68420845
"D015451","chronic lymphocytic leukemia","DB11633","Isavuconazole","DB11703","Acalabrutinib",0.65586686
"D016403","diffuse large b-cell lymphoma","DB00987","Cytarabine","DB01204","Mitoxantrone",0.5921241
"D016403","diffuse large b-cell lymphoma","DB09037","Pembrolizumab","DB11703","Acalabrutinib",0.5302099
"D016403","diffuse large b-cell lymphoma","DB00541","Vincristine","DB00877","Sirolimus",0.49311918
"D010149","pain, postoperative","DB00813","Fentanyl","DB00295","Morphine",0.60308707
"D010149","pain, postoperative","DB00281","Lidocaine","DB06774","Capsaicin",0.56238186
"D010149","pain, postoperative","DB06774","Capsaicin","DB00586","Diclofenac",0.55182433
"D008180","lupus erythematosus, systemic","DB00860","Prednisolone","DB01097","Leflunomide",0.35617372
"D008180","lupus erythematosus, systemic","DB00635","Prednisone","DB00993","Azathioprine",0.15818763
"D008180","lupus erythematosus, systemic","DB00073","Rituximab","DB00091","Cyclosporine",0.15658538
"D002277","carcinoma","DB06243","Eflornithine","DB00605","Sulindac",0.87062854
"D002277","carcinoma","DB00072","Trastuzumab","DB06366","Pertuzumab",0.86749536
"D002277","carcinoma","DB03166","Acetic acid","DB01123","Proflavine",0.85175604
"D013945","thymoma","DB00762","Irinotecan","DB00526","Oxaliplatin",0.61326087
"D013945","thymoma","DB00441","Gemcitabine","DB00361","Vinorelbine",0.19529267
"D019966","abuse, drug","DB00186","Lorazepam","DB00652","Pentazocine",0.85313535
"D019966","abuse, drug","DB00915","Amantadine","DB00273","Topiramate",0.70185995
"D019966","abuse, drug","DB00899","Remifentanil","DB01236","Sevoflurane",0.65082407
"D015179","colorectal carcinoma","DB04572","Thiotepa","DB00563","Methotrexate",0.68331814
"D015179","colorectal carcinoma","DB00515","Cisplatin","DB00642","Pemetrexed",0.40228477
"D015179","colorectal carcinoma","DB00921","Buprenorphine","DB00193","Tramadol",0.3580073
"D003092","colitis","DB01181","Ifosfamide","DB00993","Azathioprine",0.23858537
"D003092","colitis","DB01598","Imipenem","DB01597","Cilastatin",0.23729578
"D003092","colitis","DB00635","Prednisone","DB00993","Azathioprine",0.1731056
"D003093","ulcerative colitis","DB05679","Ustekinumab","DB01294","Bismuth subsalicylate",0.73654956
"D003093","ulcerative colitis","DB00916","Metronidazole","DB01327","Cefazolin",0.3056337
"D003093","ulcerative colitis","DB00005","Etanercept","DB09033","Vedolizumab",0.28483638
"D014456","ulcer","DB00916","Metronidazole","DB01060","Amoxicillin",0.74635434
"D014456","ulcer","DB00635","Prednisone","DB00993","Azathioprine",0.47672632
"D014456","ulcer","DB00916","Metronidazole","DB00537","Ciprofloxacin",0.3554554
"D008173","lung diseases, obstructive","DB11823","Esketamine","DB00935","Oxymetazoline",0.7113579
"D008173","lung diseases, obstructive","DB00668","Epinephrine","DB00043","Omalizumab",0.5837808
"D008173","lung diseases, obstructive","DB00368","Norepinephrine","DB11842","Angiotensin II",0.55230725
"D001714","bipolar disorder","DB00687","Fludrocortisone","DB00260","Cycloserine",0.6885523
"D001714","bipolar disorder","DB00472","Fluoxetine","DB00334","Olanzapine",0.6240312
"D001714","bipolar disorder","DB09068","Vortioxetine","DB00659","Acamprosate",0.5946119
"D009293","opioid-related disorders","DB00318","Codeine","DB09049","Naloxegol",0.8080026
"D009293","opioid-related disorders","DB00186","Lorazepam","DB00652","Pentazocine",0.68358976
"D009293","opioid-related disorders","DB00704","Naltrexone","DB00457","Prazosin",0.49806017
"D009369","malignant neoplasms","DB08934","Sofosbuvir","DB11613","Velpatasvir",0.87673825
"D009369","malignant neoplasms","DB00297","Bupivacaine","DB01236","Sevoflurane",0.86756533
"D009369","malignant neoplasms","DB00007","Leuprolide","DB01217","Anastrozole",0.8619869
"D009216","myopia","DB06781","Difluprednate","DB06802","Nepafenac",0.20468251
"D009216","myopia","DB01270","Ranibizumab","DB00460","Verteporfin",0.10681479
"D010024","osteoporosis, age-related","DB00624","Testosterone","DB01216","Finasteride",0.9037531
"D010024","osteoporosis, age-related","DB00624","Testosterone","DB01126","Dutasteride",0.57746655
"D010024","osteoporosis, age-related","DB00254","Doxycycline","DB01029","Irbesartan",0.10528935
"D015663","osteoporosis, postmenopausal","DB06724","Calcium carbonate","DB06410","Doxercalciferol",0.18731904
"D015663","osteoporosis, postmenopausal","DB01012","Cinacalcet","DB00630","Alendronic acid",0.12614237
"D058866","osteoporotic fractures","DB00481","Raloxifene","DB06643","Denosumab",0.748507
"D058866","osteoporotic fractures","DB06643","Denosumab","DB00630","Alendronic acid",0.31752977
"D058866","osteoporotic fractures","DB06285","Teriparatide","DB00630","Alendronic acid",0.2178435
"D001049","apnea","DB00388","Phenylephrine","DB12661","Urapidil",0.25447372
"D001049","apnea","DB01220","Rifaximin","DB00581","Lactulose",0.23155639
"D001049","apnea","DB00683","Midazolam","DB00802","Alfentanil",0.113492176
"D012891","hypersomnia with periodic respiration","DB00996","Gabapentin","DB00268","Ropinirole",0.5175892
"D012891","hypersomnia with periodic respiration","DB01001","Albuterol","DB00332","Ipratropium",0.21200095
"D012891","hypersomnia with periodic respiration","DB01221","Ketamine","DB00704","Naltrexone",0.17556736
"D007951","leukemia, monocytic, chronic","DB01008","Busulfan","DB00631","Clofarabine",0.7891656
"D007951","leukemia, monocytic, chronic","DB03619","Deoxycholic acid","DB00681","Amphotericin B",0.7433845
"D007951","leukemia, monocytic, chronic","DB00440","Trimethoprim","DB01015","Sulfamethoxazole",0.6144015
"D015470","leukemia, myelocytic, acute","DB04868","Nilotinib","DB12597","Asciminib",0.93123585
"D015470","leukemia, myelocytic, acute","DB01254","Dasatinib","DB12597","Asciminib",0.9250028
"D015470","leukemia, myelocytic, acute","DB00619","Imatinib","DB12597","Asciminib",0.9233834
"D015479","leukemia, acute myelomonocytic","DB00928","Azacitidine","DB05015","Belinostat",0.58201253
"D015479","leukemia, acute myelomonocytic","DB00987","Cytarabine","DB00631","Clofarabine",0.4155957
"D015479","leukemia, acute myelomonocytic","DB01073","Fludarabine","DB01008","Busulfan",0.14040911
"D007947","acute megakaryocytic leukemias","DB00928","Azacitidine","DB11581","Venetoclax",0.15906331
"D004915","acute erythroblastic leukemia","DB00563","Methotrexate","DB00864","Tacrolimus",0.30914527
"D004915","acute erythroblastic leukemia","DB02546","Vorinostat","DB00853","Temozolomide",0.28804445
"D004915","acute erythroblastic leukemia","DB02546","Vorinostat","DB00982","Isotretinoin",0.10308796
"D009101","multiple myeloma","DB08935","Obinutuzumab","DB15035","Zanubrutinib",0.7062519
"D009101","multiple myeloma","DB00531","Cyclophosphamide","DB00188","Bortezomib",0.680424
"D009101","multiple myeloma","DB00811","Ribavirin","DB08934","Sofosbuvir",0.66669434
"D054219","plasma cell neoplasm","DB00877","Sirolimus","DB00688","Mycophenolate mofetil",0.37414715
"D054219","plasma cell neoplasm","DB00563","Methotrexate","DB01033","Mercaptopurine",0.18772182
"D054219","plasma cell neoplasm","DB00073","Rituximab","DB06769","Bendamustine",0.17187813
"D047928","premature birth","DB00598","Labetalol","DB01115","Nifedipine",0.5697712
"D047928","premature birth","DB00929","Misoprostol","DB00834","Mifepristone",0.42078322
"D047928","premature birth","DB00929","Misoprostol","DB01006","Letrozole",0.34627733
"D012421","rupture","DB01606","Tazobactam","DB00319","Piperacillin",0.32014853
"D012421","rupture","DB01270","Ranibizumab","DB00009","Alteplase",0.18859076
"D012421","rupture","DB00438","Ceftazidime","DB09060","Avibactam",0.14070319
"D011471","prostatic neoplasms","DB00635","Prednisone","DB00741","Hydrocortisone",0.69746214
"D011471","prostatic neoplasms","DB09037","Pembrolizumab","DB00254","Doxycycline",0.62601924
"D011471","prostatic neoplasms","DB00958","Carboplatin","DB00642","Pemetrexed",0.5904942
"D014029","nicotine dependence","DB09068","Vortioxetine","DB00659","Acamprosate",0.52110976
"D014029","nicotine dependence","DB00434","Cyproheptadine","DB00457","Prazosin",0.44713134
"D014029","nicotine dependence","DB00470","Dronabinol","DB09061","Cannabidiol",0.3671369
"D013274","gastric cancer","DB00112","Bevacizumab","DB00530","Erlotinib",0.59765965
"D013274","gastric cancer","DB00072","Trastuzumab","DB11828","Neratinib",0.44004926
"D013274","gastric cancer","DB09073","Palbociclib","DB08916","Afatinib",0.3131174
"D011618","psychosis, brief reactive","DB00472","Fluoxetine","DB00402","Eszopiclone",0.38972667
"D011618","psychosis, brief reactive","DB01175","Escitalopram","DB01043","Memantine",0.35354602
"D011618","psychosis, brief reactive","DB00704","Naltrexone","DB00457","Prazosin",0.30187264
"D016889","endometrial neoplasms","DB00965","Ethiodized oil","DB00305","Mitomycin",0.4446691
"D016889","endometrial neoplasms","DB11595","Atezolizumab","DB11800","Tivozanib",0.32839337
"D016889","endometrial neoplasms","DB00515","Cisplatin","DB00642","Pemetrexed",0.2309825
"D014594","uterine neoplasms","DB00571","Propranolol","DB00749","Etodolac",0.7088831
"D014594","uterine neoplasms","DB11595","Atezolizumab","DB11800","Tivozanib",0.6534789
"D014594","uterine neoplasms","DB00958","Carboplatin","DB00928","Azacitidine",0.646455
"D010190","pancreatic neoplasm","DB01101","Capecitabine","DB00526","Oxaliplatin",0.74906456
"D010190","pancreatic neoplasm","DB11714","Durvalumab","DB00928","Azacitidine",0.63708323
"D010190","pancreatic neoplasm","DB00958","Carboplatin","DB00441","Gemcitabine",0.5990878
"D011655","pulmonary embolism","DB00009","Alteplase","DB00063","Eptifibatide",0.48698404
"D011655","pulmonary embolism","DB01109","Heparin","DB00006","Bivalirudin",0.37565514
"D013927","thrombosis","DB01211","Clarithromycin","DB01060","Amoxicillin",0.2735225
"D013927","thrombosis","DB00388","Phenylephrine","DB00668","Epinephrine",0.22854532
"D013927","thrombosis","DB01234","Dexamethasone","DB01262","Decitabine",0.1548485
"D020246","venous thrombosis","DB06605","Apixaban","DB00682","Warfarin",0.106505975
"D013313","post-traumatic stress disorder","DB00476","Duloxetine","DB01104","Sertraline",0.4092365
"D013313","post-traumatic stress disorder","DB01576","Dextroamphetamine","DB00623","Fluphenazine",0.111309916
"D003922","diabetes mellitus, insulin-dependent","DB00177","Valsartan","DB01599","Probucol",0.82985544
"D003922","diabetes mellitus, insulin-dependent","DB00959","Methylprednisolone","DB00073","Rituximab",0.81517035
"D003922","diabetes mellitus, insulin-dependent","DB00763","Methimazole","DB00550","Propylthiouracil",0.6504217
"D013119","spinal cord injuries","DB00959","Methylprednisolone","DB00296","Ropivacaine",0.30024666
"D013119","spinal cord injuries","DB00230","Pregabalin","DB00193","Tramadol",0.26946822
"D013119","spinal cord injuries","DB00415","Ampicillin","DB09324","Sulbactam",0.21214649
"D020521","cerebrovascular accident","DB00388","Phenylephrine","DB00668","Epinephrine",0.7546166
"D020521","cerebrovascular accident","DB01076","Atorvastatin","DB01098","Rosuvastatin",0.62086326
"D020521","cerebrovascular accident","DB00674","Galantamine","DB00393","Nimodipine",0.44823107
"D009798","glaucoma, suspect","DB01085","Pilocarpine","DB00692","Phentolamine",0.5020785
"D009798","glaucoma, suspect","DB00112","Bevacizumab","DB01270","Ranibizumab",0.43385047
"D009798","glaucoma, suspect","DB01270","Ranibizumab","DB00460","Verteporfin",0.21167892
"D059787","acute pain","DB01234","Dexamethasone","DB00296","Ropivacaine",0.46744978
"D059787","acute pain","DB00668","Epinephrine","DB01002","Levobupivacaine",0.28158733
"D059787","acute pain","DB00653","Magnesium sulfate","DB00297","Bupivacaine",0.24309067
"D013180","sprain","DB01060","Amoxicillin","DB00766","Clavulanic acid",0.11097207
"D006526","hepatitis c","DB00442","Entecavir","DB01114","Chlorpheniramine",0.84748924
"D006526","hepatitis c","DB00008","Peginterferon alfa-2a","DB01265","Telbivudine",0.8136512
"D006526","hepatitis c","DB14126","Tenofovir","DB01265","Telbivudine",0.73721796
"D003863","depression","DB00996","Gabapentin","DB00313","Valproic acid",0.22412333
"D003863","depression","DB01233","Metoclopramide","DB01075","Diphenhydramine",0.21364436
"D003863","depression","DB00818","Propofol","DB01236","Sevoflurane",0.21246098
"D003866","depression, endogenous","DB00313","Valproic acid","DB14509","Lithium carbonate",0.6529903
"D003866","depression, endogenous","DB00818","Propofol","DB00899","Remifentanil",0.63833493
"D003866","depression, endogenous","DB00996","Gabapentin","DB06151","Acetylcysteine",0.595223
"D061218","depressive disorder, treatment-resistant","DB01156","Bupropion","DB01238","Aripiprazole",0.29912433
"D061218","depressive disorder, treatment-resistant","DB00476","Duloxetine","DB01104","Sertraline",0.26249012
"D061218","depressive disorder, treatment-resistant","DB09072","Sodium oxybate","DB00745","Modafinil",0.14565672
"D001168","arthritis","DB00620","Triamcinolone","DB00281","Lidocaine",0.6248317
"D001168","arthritis","DB01327","Cefazolin","DB00567","Cephalexin",0.5224634
"D001168","arthritis","DB00476","Duloxetine","DB00230","Pregabalin",0.51383114
"D001172","rheumatoid arthritis","DB04854","Febuxostat","DB11560","Lesinurad",0.7745966
"D001172","rheumatoid arthritis","DB00563","Methotrexate","DB00092","Alefacept",0.74288344
"D001172","rheumatoid arthritis","DB00437","Allopurinol","DB06372","Rilonacept",0.7231137
"D006965","hyperplasia","DB00203","Sildenafil","DB00193","Tramadol",0.6222281
"D006965","hyperplasia","DB00624","Testosterone","DB01216","Finasteride",0.5486076
"D006965","hyperplasia","DB00331","Metformin","DB01083","Orlistat",0.53319734
"D008881","cervical migraine syndrome","DB01075","Diphenhydramine","DB00450","Droperidol",0.79337317
"D008881","cervical migraine syndrome","DB00712","Flurbiprofen","DB01209","Dezocine",0.77902275
"D008881","cervical migraine syndrome","DB00986","Glycopyrronium","DB01400","Neostigmine",0.6890935
"D008545","melanoma","DB00853","Temozolomide","DB06809","Plerixafor",0.75430673
"D008545","melanoma","DB00544","Fluorouracil","DB11058","Petrolatum",0.50355643
"D008545","melanoma","DB06292","Dapagliflozin","DB00262","Carmustine",0.49332497
"D002294","carcinoma, squamous cell","DB09037","Pembrolizumab","DB00002","Cetuximab",0.5184439
"D002294","carcinoma, squamous cell","DB01229","Paclitaxel","DB00526","Oxaliplatin",0.47696823
"D002294","carcinoma, squamous cell","DB01101","Capecitabine","DB01229","Paclitaxel",0.46674895
"D010051","neoplasm, ovarian","DB11945","Avelumab","DB06626","Axitinib",0.6063108
"D010051","neoplasm, ovarian","DB00515","Cisplatin","DB00642","Pemetrexed",0.51049125
"D010051","neoplasm, ovarian","DB09037","Pembrolizumab","DB00254","Doxycycline",0.49676988
"D064726","triple negative breast neoplasms","DB09037","Pembrolizumab","DB00254","Doxycycline",0.52002954
"D064726","triple negative breast neoplasms","DB11595","Atezolizumab","DB00112","Bevacizumab",0.38272968
"D064726","triple negative breast neoplasms","DB11595","Atezolizumab","DB08882","Linagliptin",0.28674918
"D005128","eye disorders","DB01222","Budesonide","DB09113","Poractant alfa",0.6873313
"D005128","eye disorders","DB00641","Simvastatin","DB00973","Ezetimibe",0.673398
"D005128","eye disorders","DB00620","Triamcinolone","DB00281","Lidocaine",0.5706573
"D013959","thyroid diseases","DB11714","Durvalumab","DB09074","Olaparib",0.5540008
"D013959","thyroid diseases","DB00296","Ropivacaine","DB00668","Epinephrine",0.44128132
"D013959","thyroid diseases","DB00853","Temozolomide","DB00530","Erlotinib",0.38298255
"D011565","pustulosis of palms and soles","DB00860","Prednisolone","DB01097","Leflunomide",0.25649866
"D011565","pustulosis of palms and soles","DB00635","Prednisone","DB05679","Ustekinumab",0.25566968
"D011565","pustulosis of palms and soles","DB05679","Ustekinumab","DB06674","Golimumab",0.22794981
"D015658","hiv infections","DB00331","Metformin","DB00602","Ivermectin",0.66312855
"D015658","hiv infections","DB01032","Probenecid","DB00198","Oseltamivir",0.5603412
"D015658","hiv infections","DB00625","Efavirenz","DB00238","Nevirapine",0.5087623
"D006331","heart diseases","DB01222","Budesonide","DB09113","Poractant alfa",0.9139955
"D006331","heart diseases","DB00559","Bosentan","DB00770","Alprostadil",0.843721
"D006331","heart diseases","DB00820","Tadalafil","DB08932","Macitentan",0.82775235
"D050197","atherosclerosis","DB00222","Glimepiride","DB00331","Metformin",0.71621114
"D050197","atherosclerosis","DB01039","Fenofibrate","DB00641","Simvastatin",0.5016045
"D050197","atherosclerosis","DB00640","Adenosine","DB06213","Regadenoson",0.49489197
"D017202","myocardial ischemia","DB06605","Apixaban","DB01109","Heparin",0.69208086
"D017202","myocardial ischemia","DB00421","Spironolactone","DB12945","Dihydralazine",0.6454221
"D017202","myocardial ischemia","DB00559","Bosentan","DB00770","Alprostadil",0.594215
"D003324","coronary arteriosclerosis","DB01109","Heparin","DB00063","Eptifibatide",0.759324
"D003324","coronary arteriosclerosis","DB00381","Amlodipine","DB04861","Nebivolol",0.6456968
"D003324","coronary arteriosclerosis","DB00722","Lisinopril","DB00264","Metoprolol",0.5693889
"D007511","ischemia","DB06441","Cangrelor","DB06209","Prasugrel",0.85988224
"D007511","ischemia","DB00559","Bosentan","DB00770","Alprostadil",0.78265774
"D007511","ischemia","DB00316","Acetaminophen","DB01200","Bromocriptine",0.73349893
"D007319","sleep initiation and maintenance disorders","DB00476","Duloxetine","DB01104","Sertraline",0.5162894
